Power/NCP	Skill	Type	Effect	EB	Sort	From?	Alias
Deathwish	-	Passive	Add +1 die per missing point of HP to every roll except for defense rolls.	-	Virus Power	Mega Viruses	
							
Vanish	Coding	Cost	Turn invisible and teleport up to a range band. Invisibility expires when you are hurt.	-	Virus Power	Mega Viruses	
Torment	Strength	Roll	Manipulate any number of Near objects (e.g. slam doors, press buttons, toss items, etc).	-	Virus Power	Mega Viruses	
Doubt	-	Passive	You can make each viewer perceive your element differently.	-	Virus Power	Mega Viruses	
MementoMori	Affinity	Cost	Mark a Close target. Remains on jack-out. Consume the mark to warp Near the target.	-	Virus Power	Mega Viruses	
EleMaster	Affinity	Roll	Change your element to anything you want.	-	Virus Power	Mega Viruses	
EleMixup	Coding	Roll	Swap 2+ Near targets’ elements. Lasts 3 rolls.	-	Virus Power	Mega Viruses	
EleMercy	-	Passive	When you’re hurt, spawn your element Close.	-	Virus Power	Mega Viruses	
EleMajesty	-	Passive	You can control up to 3 elements at once.	-	Virus Power	Mega Viruses	
Redshift	Coding	Cost	Your element briefly (pick 1): reveals invisibility; blinds Close to it; starts growing in size.	-	Virus Power	Mega Viruses	
SolarFlare	Affinity	Roll	(Requires 8+ Affinity.) Overheat a Near target’s PET. Interrupts the connection.	-	Virus Power	Mega Viruses	
Supernova	-	Passive	After rolling Affinity, gain 1 Affinity, lose 1 HP, and increase the server’s temperature.	-	Virus Power	Mega Viruses	
SupernovaΩ	-	Passive	After rolling Affinity, gain 2 Affinity, lose 2 HP, and greatly increase the server’s temperature.	-	Virus Power	Mega Viruses	SupernovaOmega
StarCrossed	Affinity	Roll	(Requires 20+ Affinity.) Pick an object Near the real-world server; it catches on fire.	-	Virus Power	Mega Viruses	
Backdoor	Coding	Cost	Create a Near door that leads to a fake room. The room’s walls count as your body.	-	Virus Power	Mega Viruses	
Redecorate	Affinity	Roll	Modify your room’s contents. Complex objects have tells to hint at the room’s nature.	-	Virus Power	Mega Viruses	
Domain	-	Passive	Within your room, you can roll Affinity to manipulate anyone’s summoned element.	-	Virus Power	Mega Viruses	
Populate	Affinity	Cost	Add a fake creature to the room. It rolls with your stats and skills. It cannot speak.	-	Virus Power	Mega Viruses	
							
SOSMail	-	-	Once per jack-in, can send an SOS w/ your location to all chat rooms on the server.	1	NCP	Mudslurp	
FamilyFilter	-	-	Your body beeps loudly to censor any Near audible insults or rude language.	1	NCP	Mudslurp	
FriendsList	-	-	A heads-up display shows the status of your bonded allies in very limited detail.	1	NCP	Mudslurp	FriendList
EmotiConlang	-	-	You can roll Charm instead of Coding to hack into Close inanimate Viruses.	2	NCP	Mudslurp	
Necropost	-	-	Shortly after targets are deleted, you can speak with them. Viruses will be friendly.	2	NCP	Mudslurp	
MysteryChannel	-	-	Secret comms channel! Contains strange signals, odd secrets, and... Virus chatter?	2	NCP	Mudslurp	
