Chip	Dmg	Range	Effect	Category	Tags	Tags In Brackets	Single Description	From?	License	Alias
DarkInvisible	-	-	For the next 2x[Daemon Bond] rolls, you become an invisible, invincible specter.	Support	Dark, Guard, Simple	 [Dark, Guard, Simple]	For the next 2x[Daemon Bond] rolls, you become an invisible, invincible specter. [Dark, Guard, Simple]	DarkChips		DarkInvis
DarkKnuckle	4	Close	Steal the target’s element. Add [Daemon Bond]x2 to Affinity when summoning elements.	Impact	Dark, Awkward	 [Dark, Awkward]	Steal the target’s element. Add [Daemon Bond]x2 to Affinity when summoning elements. [Dark, Awkward]	DarkChips		
DarkLance	5	Near	Warp Close behind the target and stab their weakest point. Can choose to teleport back or not.	Rush	Dark, Awkward	 [Dark, Awkward]	Warp Close behind the target and stab their weakest point. Can choose to teleport back or not. [Dark, Awkward]	DarkChips		
DarkLantern	5	Close	A magic lantern. Enemies roll Bravery to not walk towards it. Explodes on your command.	Summon	Dark, Dangerous	 [Dark, Dangerous]	A magic lantern. Enemies roll Bravery to not walk towards it. Explodes on your command. [Dark, Dangerous]	DarkChips		
DarkMeteor	10	Far	A colossal meteor appears far away. After 10 rolls, it falls. Sends destructive shockwaves out.	Summon	Dark, Piercing, Dangerous, Slow	 [Dark, Piercing, Dangerous, Slow]	A colossal meteor appears far away. After 10 rolls, it falls. Sends destructive shockwaves out. [Dark, Piercing, Dangerous, Slow]	DarkChips		
DarkMist	-	Far	Black mist isolates the server. No jacking in/out, PET msgs, etc. All seems normal on the outside.	Hazard	Dark	 [Dark]	Black mist isolates the server. No jacking in/out, PET msgs, etc. All seems normal on the outside. [Dark]	DarkChips		
DarkPick	3	Close	A black icepick. If target is a Virus, take control of them. If Navi, gain total control over their PET.	Blade	Dark, Slow	 [Dark, Slow]	A black icepick. If target is a Virus, take control of them. If Navi, gain total control over their PET. [Dark, Slow]	DarkChips		
DarkPlus	-	-	On next roll, add 2x[Daemon Bond] dice. If your Daemon Bond is your highest Bond, 3x instead.	Support	Dark, Simple	 [Dark, Simple]	On next roll, add 2x[Daemon Bond] dice. If your Daemon Bond is your highest Bond, 3x instead. [Dark, Simple]	DarkChips		
DarkRecall	-	Close	Spawn the last Virus you deleted - you control it. Add [Daemon Bond] to its stats. Its HP is full.	Support	Dark, Slow	 [Dark, Slow]	Spawn the last Virus you deleted - you control it. Add [Daemon Bond] to its stats. Its HP is full. [Dark, Slow]	DarkChips		
DarkRecover	-	Near	Choose at least one bonded ally in range. They all take -2 HP, and you heal 4 HP per ally hurt.	Support	Dark	 [Dark]	Choose at least one bonded ally in range. They all take -2 HP, and you heal 4 HP per ally hurt. [Dark]	DarkChips		
DarkSnake	6	Close	Viper fangs bite your target! Your Daemon takes control of the target’s voice.	Impact	Dark, Awkward, Slow	 [Dark, Awkward, Slow]	Viper fangs bite your target! Your Daemon takes control of the target’s voice. [Dark, Awkward, Slow]	DarkChips		
DarkSound	-	Near	Disembodied mouths emits deafening static for a minute. Paralyzes others & jams PET connection.	Summon	Dark, Awkward, Slow	 [Dark, Awkward, Slow]	Disembodied mouths emits deafening static for a minute. Paralyzes others & jams PET connection. [Dark, Awkward, Slow]	DarkChips		
DarkSpread	5	Close	When the target is deleted, they burst into huge tendrils that thrash anything Close (except you).	Impact	Dark, Dangerous	 [Dark, Dangerous]	When the target is deleted, they burst into huge tendrils that thrash anything Close (except you). [Dark, Dangerous]	DarkChips		
DarkStage	-	Far	Pick 2: change gravity; shatter the terrain; spawn several black obelisks where you please.	Hazard	Dark, Dangerous, Slow	 [Dark, Dangerous, Slow]	Pick 2: change gravity; shatter the terrain; spawn several black obelisks where you please. [Dark, Dangerous, Slow]	DarkChips		
DarkStrings	2	Near	Dark marionette strings! You completely control the target for 3 rolls. They feel everything.	Thrown	Dark, Slow	 [Dark, Slow]	Dark marionette strings! You completely control the target for 3 rolls. They feel everything. [Dark, Slow]	DarkChips		DarkString
DarkSword	6	Close	Slices a gap in the server, opening a slit from which your Daemon can spread its influence.	Blade	Dark, Dangerous	 [Dark, Dangerous]	Slices a gap in the server, opening a slit from which your Daemon can spread its influence. [Dark, Dangerous]	DarkChips		
DarkThunder	3x3	Near	Channel stunning bolts! Spend [Daemon Bond] Stamina or you lose control of the wild lightning.	Wave	Dark, Awkward, Dangerous	 [Dark, Awkward, Dangerous]	Channel stunning bolts! Spend [Daemon Bond] Stamina or you lose control of the wild lightning. [Dark, Awkward, Dangerous]	DarkChips		
DarkTornado	4	Close	Fly in a tornado! All hit tumble upwards. It persists, tearing the server. Doesn’t hurt you.	Wave	Dark, Awkward, Dangerous	 [Dark, Awkward, Dangerous]	Fly in a tornado! All hit tumble upwards. It persists, tearing the server. Doesn’t hurt you. [Dark, Awkward, Dangerous]	DarkChips		
DarkVulcan	3x3	Near	A cursed minigun. Roll Hard Bravery to resist your Daemon choosing the target instead.	Shot	Dark, Accurate	 [Dark, Accurate]	A cursed minigun. Roll Hard Bravery to resist your Daemon choosing the target instead. [Dark, Accurate]	DarkChips		
DarkWide	4	Near	A razor shockwave flies out in all directions, slicing all Near targets. Objects are bisected.	Wave	Dark, Accurate, Dangerous	 [Dark, Accurate, Dangerous]	A razor shockwave flies out in all directions, slicing all Near targets. Objects are bisected. [Dark, Accurate, Dangerous]	DarkChips		
DarkWorm	4+X	Near	Burrow and devour. X=[Daemon Bond]. On hit, attack another target until you have hit X targets.	Rush	Dark	 [Dark]	Burrow and devour. X=[Daemon Bond]. On hit, attack another target until you have hit X targets. [Dark]	DarkChips		
										
CritterCrew	-	Close	Small animals come to help! They’re small, cute, nonviolent, brave, and take simple orders.	Summon			Small animals come to help! They’re small, cute, nonviolent, brave, and take simple orders.	ChitChat		
EleMentalist	-	Near	Write any element down, tell others its 1st letter. If a player guesses it 1st try, summon lots of it!	Summon			Write any element down, tell others its 1st letter. If a player guesses it 1st try, summon lots of it!	ChitChat		
Jamout	X+1	Near	Rock out! Any Near ally can spend 1 Charge to join the jam session and add 1 damage.	Wave	Awkward, Dangerous	 [Awkward, Dangerous]	Rock out! Any Near ally can spend 1 Charge to join the jam session and add 1 damage. [Awkward, Dangerous]	ChitChat		
Offdoff	2	Close	Knock an object off the target (their weapon, their disguise, a mind-control hat, etc).	Impact			Knock an object off the target (their weapon, their disguise, a mind-control hat, etc).	ChitChat		
PawClaw	2	Close	Claw swipe! Can also be used to downshift a Charm roll on someone who likes cute things.	Blade			Claw swipe! Can also be used to downshift a Charm roll on someone who likes cute things.	ChitChat		
Redecorator	-	Near	Every player names a simple piece of household furniture/decor that appears around you.	Summon			Every player names a simple piece of household furniture/decor that appears around you.	ChitChat		
										
AestheticShuffle	-	-	Your look is now Edgy, Funky, Cute, Soft, or Elegant. Can spend 1 Charm to refresh this chip.	Support	Awkward	 [Awkward]	Your look is now Edgy, Funky, Cute, Soft, or Elegant. Can spend 1 Charm to refresh this chip. [Awkward]	Radical Spin		
Dashspin	2	Near	Roll into a ball and bowl into the target! Speed rolls are downshifted until you stop spinning.	Rush	Awkward	 [Awkward]	Roll into a ball and bowl into the target! Speed rolls are downshifted until you stop spinning. [Awkward]	Radical Spin		
Faker	-	Close	A knockoff of you! It can use one of your Navi Powers before vanishing. (May gain sentience.)	Summon			A knockoff of you! It can use one of your Navi Powers before vanishing. (May gain sentience.)	Radical Spin		
FlameShield	2	Near	Dash to Close in a fire bubble! Can instead be used to take -2 damage next time you’re hit.	Rush	Guard, Dangerous	 [Guard, Dangerous]	Dash to Close in a fire bubble! Can instead be used to take -2 damage next time you’re hit. [Guard, Dangerous]	Radical Spin		
KnuckleSpikes	2	Close	Can instead be used to climb a solid surface or rapidly burrow through soft ground.	Impact			Can instead be used to climb a solid surface or rapidly burrow through soft ground.	Radical Spin		KnuckleSpike
OpenYourHeart	-	-	Charge your power, add +1 die per HP missing to your next Soul roll. Collapse after the roll.	Support	Slow	 [Slow]	Charge your power, add +1 die per HP missing to your next Soul roll. Collapse after the roll. [Slow]	Radical Spin		
PerfectChaos	-	Near	Summon a massive storm! All downshift Bravery rolls and upshift defense rolls while within.	Hazard	Dangerous, Slow	 [Dangerous, Slow]	Summon a massive storm! All downshift Bravery rolls and upshift defense rolls while within. [Dangerous, Slow]	Radical Spin		
ThunderShield	-	-	Pick 1: electrify your next attack; downshift your next ranged defense; reroll a Speed roll.	Support	Guard	 [Guard]	Pick 1: electrify your next attack; downshift your next ranged defense; reroll a Speed roll. [Guard]	Radical Spin		
WaterShield	-	-	Pick 1: block a non-electric/blade attack; downshift underwater Speed rolls until you are hit.	Support	Guard	 [Guard]	Pick 1: block a non-electric/blade attack; downshift underwater Speed rolls until you are hit. [Guard]	Radical Spin		
										
AceOfSpades	-	-	Next time you lose an opposed roll and at least one of your dice reads 1, change all 1s to 6s.	Support	Guard, Slow	 [Guard, Slow]	Next time you lose an opposed roll and at least one of your dice reads 1, change all 1s to 6s. [Guard, Slow]	Mystic Lilies		
AnnihilatingRoar	-	Near	Pick 2: deal 2 damage; reset Mind skills reduced by enemies; push Close targets to Near.	Wave	Slow	 [Slow]	Pick 2: deal 2 damage; reset Mind skills reduced by enemies; push Close targets to Near. [Slow]	Mystic Lilies		AnnihilatingRawr, AnnihilatingRawrXD
Apparition	-	Far	Appear directly behind anyone visible. Lights around them flicker and dim.	Support	Simple	 [Simple]	Appear directly behind anyone visible. Lights around them flicker and dim. [Simple]	Mystic Lilies		
BadApple	-	Close	An apple curses temp. on bite! Pick 2: go blind; speak all thoughts; panic; hallucinate; turn ugly.	Summon	Slow	 [Slow]	An apple curses temp. on bite! Pick 2: go blind; speak all thoughts; panic; hallucinate; turn ugly. [Slow]	Mystic Lilies		
BanishingBlade	1+X	Close	On jack-in, pick a Virus category. X=3 when this chip is used against those Viruses.	Blade	Slow	 [Slow]	On jack-in, pick a Virus category. X=3 when this chip is used against those Viruses. [Slow]	Mystic Lilies		
Chimera	-	-	Swap the value of two stats or two skills. Your appearance also shifts. Expires after 3 rolls.	Support	Slow	 [Slow]	Swap the value of two stats or two skills. Your appearance also shifts. Expires after 3 rolls. [Slow]	Mystic Lilies		
DashingGrace	-	Far	Zip Close and expose the target. If an ally rolls to attack the target next, they deal +2 damage.	Rush			Zip Close and expose the target. If an ally rolls to attack the target next, they deal +2 damage.	Mystic Lilies		
Demystification	2	Close	A bit of the target’s knowledge appears in writing! It’s more useful the more dmg you deal.	Impact			A bit of the target’s knowledge appears in writing! It’s more useful the more dmg you deal.	Mystic Lilies		
Dominion	-	Close	3 ghost servants! They are slow & vanish when hurt, but look & act haunting. One order each.	Summon	Slow	 [Slow]	3 ghost servants! They are slow & vanish when hurt, but look & act haunting. One order each. [Slow]	Mystic Lilies		
EchoChamber	-	Close	Pick an ally in range that’s making an opposed roll; you can reroll their failed dice.	Support	Awkward	 [Awkward]	Pick an ally in range that’s making an opposed roll; you can reroll their failed dice. [Awkward]	Mystic Lilies		
ExtendAsh	X	Close	Slash the target with a flaming phoenix talon! X = the number of Near hostile Navis/Viruses.	Blade	Piercing	 [Piercing]	Slash the target with a flaming phoenix talon! X = the number of Near hostile Navis/Viruses. [Piercing]	Mystic Lilies		
FlowerBurst	-	Near	Magical petals! When affected targets fail social Charm/Bravery rolls, you dictate what they say.	Wave			Magical petals! When affected targets fail social Charm/Bravery rolls, you dictate what they say.	Mystic Lilies		
Forbidden	-	Near	Lays a tripwire over an exit. On activation, it briefly stuns the target & teleports you behind them.	Hazard	Awkward	 [Awkward]	Lays a tripwire over an exit. On activation, it briefly stuns the target & teleports you behind them. [Awkward]	Mystic Lilies		
HeartfeltFancy	-	Close	A magic butterfly! Whoever wilfully grabs it loses 4 HP and gets +4 dice to their next roll.	Summon	Slow	 [Slow]	A magic butterfly! Whoever wilfully grabs it loses 4 HP and gets +4 dice to their next roll. [Slow]	Mystic Lilies		
ImmortalSmoke	-	Near	Spend 2 HP, then pick a used chip from an ally’s Folder; you can use it once. Resets on jack-out.	Support			Spend 2 HP, then pick a used chip from an ally’s Folder; you can use it once. Resets on jack-out.	Mystic Lilies		
InstantKarma	3	Near	Ghost swords follow you. Next time someone tells a lie in range, the swords pierce their heart.	Summon	Guard, Slow	 [Guard, Slow]	Ghost swords follow you. Next time someone tells a lie in range, the swords pierce their heart. [Guard, Slow]	Mystic Lilies		
LooseRain	-	Near	Everything in range heals 2 HP. It begins to drizzle.	Hazard	Slow	 [Slow]	Everything in range heals 2 HP. It begins to drizzle. [Slow]	Mystic Lilies		
Misdirection	-	-	Your next 3 rolls/chips can seem to come from wherever you want within their range.	Support	Simple	 [Simple]	Your next 3 rolls/chips can seem to come from wherever you want within their range. [Simple]	Mystic Lilies		
Moonlight	-	Near	Summons a moonbeam from the sky. You are invisible as long as you stay within it.	Summon			Summons a moonbeam from the sky. You are invisible as long as you stay within it.	Mystic Lilies		
PerfectFreeze	1	Close	Trickster fairy touch! Temporarily encases the target in a block of ice.	Impact	Dangerous	 [Dangerous]	Trickster fairy touch! Temporarily encases the target in a block of ice. [Dangerous]	Mystic Lilies		
Possession	-	Near	Can only be used immediately after a Navi/Virus is deleted. You can briefly control their body.	Support			Can only be used immediately after a Navi/Virus is deleted. You can briefly control their body.	Mystic Lilies		
PristineBeat	2	Far	Your voice booms out, clearly heard by everyone within range.	Wave	Awkward, Slow	 [Awkward, Slow]	Your voice booms out, clearly heard by everyone within range. [Awkward, Slow]	Mystic Lilies		
Reverser	2	Close	On parry win, pick 1 (lasts 3 rolls): invert your gravity; flip your temp. skill changes; flip the target over.	Blade			On parry win, pick 1 (lasts 3 rolls): invert your gravity; flip your temp. skill changes; flip the target over.	Mystic Lilies		
TabulaRasa	-	-	Erases any traces of your presence. Viruses outside line of sight forget they saw you.	Support			Erases any traces of your presence. Viruses outside line of sight forget they saw you.	Mystic Lilies		
ThirdEye	-	Near	Gaze into the target’s mind. You hear their thoughts until you roll, use a chip, or take damage.	Shot	Awkward	 [Awkward]	Gaze into the target’s mind. You hear their thoughts until you roll, use a chip, or take damage. [Awkward]	Mystic Lilies		
Uptempo	-	Near	A blaring, frenzied beat! All in range downshift their next 3 Speed rolls. Objects also accelerate.	Hazard	Dangerous	 [Dangerous]	A blaring, frenzied beat! All in range downshift their next 3 Speed rolls. Objects also accelerate. [Dangerous]	Mystic Lilies		
VanishingMist	-	Near	Mist seeps into the area. Any who jack out in the mist can invite a Close Navi to come with them.	Hazard			Mist seeps into the area. Any who jack out in the mist can invite a Close Navi to come with them.	Mystic Lilies		
VengefulSpirit	-	Near	Curses a target. The next time they take damage, their highest skill(s) are briefly reduced by 2.	Support			Curses a target. The next time they take damage, their highest skill(s) are briefly reduced by 2.	Mystic Lilies		
WanderFlame	-	-	Your jack-out roll is downshifted, and it triggers a 3-damage Dngr. flame pillar that hits all Close.	Support	Simple	 [Simple]	Your jack-out roll is downshifted, and it triggers a 3-damage Dngr. flame pillar that hits all Close. [Simple]	Mystic Lilies		
WanderingSin	2	Near	The target is covered in text of your choice, which needs a Hard Coding roll to erase.	Shot	Awkward	 [Awkward]	The target is covered in text of your choice, which needs a Hard Coding roll to erase. [Awkward]	Mystic Lilies		
										
EleGeddon	-	Near	Convert an object to your element. Your element slowly spreads, converting everything it touches.	Hazard	Incident, Dangerous, Slow	 [Incident, Dangerous, Slow]	Convert an object to your element. Your element slowly spreads, converting everything it touches. [Incident, Dangerous, Slow]	Mystic Lilies		
Expurgation	4	Near	A cursed key. Stuns the target and exposes their memories to view & edit, rendered as text.	Thrown	Incident, Awkward	 [Incident, Awkward]	A cursed key. Stuns the target and exposes their memories to view & edit, rendered as text. [Incident, Awkward]	Mystic Lilies		
ForbiddenRitual	-	Close	Resurrect a Navi. Needs a powerful server; it is destroyed soon after. They will not be the same.	Support	Incident, Awkward, Dangerous, Slow	 [Incident, Awkward, Dangerous, Slow]	Resurrect a Navi. Needs a powerful server; it is destroyed soon after. They will not be the same. [Incident, Awkward, Dangerous, Slow]	Mystic Lilies		
Paranoia	4	Near	Marks the target. Once per jack-in, you can warp Close & stun them, even if they are in other servers.	Rush	Incident, Slow	 [Incident, Slow]	Marks the target. Once per jack-in, you can warp Close & stun them, even if they are in other servers. [Incident, Slow]	Mystic Lilies		
PyrrhicSun	-	Near	A molten star appears above, growing larger, until the real-world server explodes into flames.	Summon	Incident, Dangerous, Slow	 [Incident, Dangerous, Slow]	A molten star appears above, growing larger, until the real-world server explodes into flames. [Incident, Dangerous, Slow]	Mystic Lilies		
SealingRites	4	Close	Entombs a target Navi in an inescapable cell, buried within the server. Their PET disconnects.	Impact	Incident, Awkward, Slow	 [Incident, Awkward, Slow]	Entombs a target Navi in an inescapable cell, buried within the server. Their PET disconnects. [Incident, Awkward, Slow]	Mystic Lilies		SealingRite
ShadowCaster	5	Close	Makes a fiendish doppelganger of the target. No one can tell which is which at first. Ignores Guards.	Blade	Incident	 [Incident]	Makes a fiendish doppelganger of the target. No one can tell which is which at first. Ignores Guards. [Incident]	Mystic Lilies		
VanishingWorld	14	Near	Before firing, spends a minute sucking power from all electronics on the power grid. Ignores Guards.	Wave	Incident, Awkward, Dangerous, Slow	 [Incident, Awkward, Dangerous, Slow]	Before firing, spends a minute sucking power from all electronics on the power grid. Ignores Guards. [Incident, Awkward, Dangerous, Slow]	Mystic Lilies		
VileSeed	3	Near	A subtle, burrowing seed! After time passes, the user can control the target’s body, then mind.	Shot	Incident	 [Incident]	A subtle, burrowing seed! After time passes, the user can control the target’s body, then mind. [Incident]	Mystic Lilies		
										
AlchemistTrick	-	-	On next chip use, change a word of its description to a perfect rhyme. Only affects appearance.	Support	Simple	 [Simple]	On next chip use, change a word of its description to a perfect rhyme. Only affects appearance. [Simple]	Leximancy		
AlphaStrike	2	Near	Cursed envelope! Pick a letter. For 3 rolls, the target can’t use chips starting with that letter.	Thrown	Piercing, Slow	 [Piercing, Slow]	Cursed envelope! Pick a letter. For 3 rolls, the target can’t use chips starting with that letter. [Piercing, Slow]	Leximancy		
CapsLock	1	Near	Sacrifice a BattleChip to upshift target’s next X rolls. X = # of capital letters in the chip name.	Impact	Accurate	 [Accurate]	Sacrifice a BattleChip to upshift target’s next X rolls. X = # of capital letters in the chip name. [Accurate]	Leximancy		
ChaosSwap	1	Near	Wild magic attacks two targets! If you hit both, swap their elements. Lasts until you roll 3 times.	Thrown	Piercing	 [Piercing]	Wild magic attacks two targets! If you hit both, swap their elements. Lasts until you roll 3 times. [Piercing]	Leximancy		
Crowdsource	-	Near	A big hologram crowd! They cheer spectacle, boo boring people, and disappear when harmed.	Summon			A big hologram crowd! They cheer spectacle, boo boring people, and disappear when harmed.	Leximancy		
DictionaryAttack	1	Close	Paper rapier! Pick a letter; if the target’s element includes that letter, disable it for 3 rolls.	Blade	Accurate	 [Accurate]	Paper rapier! Pick a letter; if the target’s element includes that letter, disable it for 3 rolls. [Accurate]	Leximancy		
LoveLetters	-	-	Pick an unused chip in your Folder, heal X HP. X = # of vowels (including Y) in the chip name.	Support			Pick an unused chip in your Folder, heal X HP. X = # of vowels (including Y) in the chip name.	Leximancy		LoveLetter
MagicTome	2	Near	Cast a magic bolt! Can instead be used to make your next 3 Affinity rolls using Info instead.	Shot			Cast a magic bolt! Can instead be used to make your next 3 Affinity rolls using Info instead.	Leximancy		
RhymeScheme	-	Near	Spend X Info to turn the target’s element to a perfect rhyme of your choice for Xx2 rolls.	Support			Spend X Info to turn the target’s element to a perfect rhyme of your choice for Xx2 rolls.	Leximancy		
										
AnteUp	-	-	The loser of your next opposed roll drops the rolled skill by 2. Refresh this chip if you lose.	Support	Guard, Slow	 [Guard, Slow]	The loser of your next opposed roll drops the rolled skill by 2. Refresh this chip if you lose. [Guard, Slow]	Silicon Skin		
BareMetal	-	-	Shut down & bare your code. 1 ally can roll Coding to heal you 2 HP per hit. They reboot you.	Support	Awkward, Slow	 [Awkward, Slow]	Shut down & bare your code. 1 ally can roll Coding to heal you 2 HP per hit. They reboot you. [Awkward, Slow]	Silicon Skin		
BloodyMerry	-	Close	3 spicy cocktails. Drink 1 for +1 die next Mind roll, no stacking. Throw 1 to light a fire on impact.	Summon	Awkward, Slow	 [Awkward, Slow]	3 spicy cocktails. Drink 1 for +1 die next Mind roll, no stacking. Throw 1 to light a fire on impact. [Awkward, Slow]	Silicon Skin		
ChromeLipstick	-	-	Until you take damage, your words cannot be silenced or ignored, muting all other sound.	Support	Guard, Simple	 [Guard, Simple]	Until you take damage, your words cannot be silenced or ignored, muting all other sound. [Guard, Simple]	Silicon Skin		
Cosmicpolitan	-	Close	Sweet purple drink! On drinking, you have zero gravity for a minute. Upshift Speed defending.	Summon	Awkward, Slow	 [Awkward, Slow]	Sweet purple drink! On drinking, you have zero gravity for a minute. Upshift Speed defending. [Awkward, Slow]	Silicon Skin		
FatalAttraction	-	-	Next time an enemy fails a Charm roll on you, warp Close and respond with a 4-damage slash.	Support	Guard, Slow	 [Guard, Slow]	Next time an enemy fails a Charm roll on you, warp Close and respond with a 4-damage slash. [Guard, Slow]	Silicon Skin		
FluffyDaydream	-	Close	Sweet drink! When drank, pick a Bond; heal HP = Bond Lvl+2 & say your true feelings about them.	Summon	Awkward, Slow	 [Awkward, Slow]	Sweet drink! When drank, pick a Bond; heal HP = Bond Lvl+2 & say your true feelings about them. [Awkward, Slow]	Silicon Skin		
GlamourLegs	2	Close	Can instead use to make 3 Speed rolls using your Charm instead. Puts all eyes on you, baby.	Impact	Awkward, Dangerous	 [Awkward, Dangerous]	Can instead use to make 3 Speed rolls using your Charm instead. Puts all eyes on you, baby. [Awkward, Dangerous]	Silicon Skin		GlamourLeg, GlamorLegs, GlamorLeg, Girlboss
GuiltyPleasure	-	Close	Shimmering unstable energy! Your next Cost Power is free, but your next failure is catastrophic.	Support	Simple	 [Simple]	Shimmering unstable energy! Your next Cost Power is free, but your next failure is catastrophic. [Simple]	Silicon Skin		
Mettini	-	Close	Dry cocktail served in a yellow helmet. After you drink it, you can speak with Viruses for 5 rolls.	Summon	Awkward, Slow	 [Awkward, Slow]	Dry cocktail served in a yellow helmet. After you drink it, you can speak with Viruses for 5 rolls. [Awkward, Slow]	Silicon Skin		
MidnightRunner	-	Close	Smoke cloud makes all hit invisible. Ends in a minute, when attacking, or if Close to an enemy.	Wave	Awkward	 [Awkward]	Smoke cloud makes all hit invisible. Ends in a minute, when attacking, or if Close to an enemy. [Awkward]	Silicon Skin		
PoisonParadise	-	Near	Pick a hazard - it is disguised as something enticing and inviting. Disguise expires on touch.	Hazard	Awkward, Slow	 [Awkward, Slow]	Pick a hazard - it is disguised as something enticing and inviting. Disguise expires on touch. [Awkward, Slow]	Silicon Skin		
Shampain	-	Close	Gold wine! On drinking, next roll, reroll your failed dice. -400z per rerolled die; -3 HP if you hit 0z.	Summon	Awkward, Slow	 [Awkward, Slow]	Gold wine! On drinking, next roll, reroll your failed dice. -400z per rerolled die; -3 HP if you hit 0z. [Awkward, Slow]	Silicon Skin		
SteelHeart	-	-	Suppress all emotion (e.g. fear, temptation) for 5 rolls. Can’t use Charm, Bravery, or Bonds.	Support	Guard, Simple	 [Guard, Simple]	Suppress all emotion (e.g. fear, temptation) for 5 rolls. Can’t use Charm, Bravery, or Bonds. [Guard, Simple]	Silicon Skin		
VoltageSpike	-	Close	A yellow cocktail served in a big battery! Electrifies your next 3 rolls, then stuns you.	Summon	Awkward, Slow	 [Awkward, Slow]	A yellow cocktail served in a big battery! Electrifies your next 3 rolls, then stuns you. [Awkward, Slow]	Silicon Skin		
										
0-TheFool	1+X	Near	Magic card! If this is the first chip you use, knock the target over; if it’s the last in your Folder, X=3.	Thrown			Magic card! If this is the first chip you use, knock the target over; if it’s the last in your Folder, X=3.	Tarot		Fool, TheFool
I-TheMagician	3	Near	Arcane magic blast! If this is the first allied attack on the target, ignore the negative tags.	Shot	Piercing, Dangerous, Slow	 [Piercing, Dangerous, Slow]	Arcane magic blast! If this is the first allied attack on the target, ignore the negative tags. [Piercing, Dangerous, Slow]	Tarot		Magician, TheMagician, 1-Magician, 1-TheMagician
II-HighPriestess	-	Near	Next time an enemy targets you with a Mind roll, briefly go invisible and move a range band.	Rush	Guard, Slow	 [Guard, Slow]	Next time an enemy targets you with a Mind roll, briefly go invisible and move a range band. [Guard, Slow]	Tarot		HighPriestess, TheHighPriestess, 2-HighPriestess
III-TheEmpress	2	Close	Royal scepter! Spend 1 Charm: If their next attack targets anyone other than you, upshift it.	Impact	Accurate, Awkward	 [Accurate, Awkward]	Royal scepter! Spend 1 Charm: If their next attack targets anyone other than you, upshift it. [Accurate, Awkward]	Tarot		Empress, TheEmpress, 3-Empress, 3-TheEmpress
IV-TheEmperor	3	Close	King’s trident! If this doesn’t delete, upshift your next 2 rolls unless they are Strength or Bravery.	Blade	Piercing	 [Piercing]	King’s trident! If this doesn’t delete, upshift your next 2 rolls unless they are Strength or Bravery. [Piercing]	Tarot		Emperor, TheEmperor, 4-Emperor, 4-TheEmperor
V-TheHierophant	-	Close	For 2 rolls, targets (pick 2): set their element to yours; set their Mind to yours; cannot use chips.	Wave	Awkward	 [Awkward]	For 2 rolls, targets (pick 2): set their element to yours; set their Mind to yours; cannot use chips. [Awkward]	Tarot		Hierophant, TheHierophant, 5-Hierophant, 5-TheHierophant
VI-TheLovers	-	Close	Rose garden! Everyone within can only deal dmg with scornful Charm/Bravery rolls. Wilts in a minute.	Hazard	Dangerous	 [Dangerous]	Rose garden! Everyone within can only deal dmg with scornful Charm/Bravery rolls. Wilts in a minute. [Dangerous]	Tarot		Lover, The Lover, Lovers, TheLovers, 6-Lovers, 6-TheLovers
VII-TheChariot	3	Near	Charge Close! Roll Normal Bravery; if you fail, this is Dangerous. If you crit, this is Piercing.	Rush	Awkward	 [Awkward]	Charge Close! Roll Normal Bravery; if you fail, this is Dangerous. If you crit, this is Piercing. [Awkward]	Tarot		Chariot, TheChariot, 7-Chariot, 7-TheChariot
VIII-Strength	4	Close	Bite with a vicious lion’s head! Your next 3 rolled/BattleChip attacks deal -1 damage.	Impact			Bite with a vicious lion’s head! Your next 3 rolled/BattleChip attacks deal -1 damage.	Tarot		Strength, 8-Strength
IX-TheHermit	-	Close	Holy lantern! Pick a Near target. After you defend twice, hits the target with a 3-damage light blast.	Summon	Piercing, Slow	 [Piercing, Slow]	Holy lantern! Pick a Near target. After you defend twice, hits the target with a 3-damage light blast. [Piercing, Slow]	Tarot		Hermit, TheHermit, 9-Hermit, 9-TheHermit
X-WheelOfFortune	3	Near	Karmic wheel of spikes! After the target rolls once, they can use a copy of this chip once.	Thrown			Karmic wheel of spikes! After the target rolls once, they can use a copy of this chip once.	Tarot		WheelOfFortune, Fortune, 10-WheelOfFortune, 10-Fortune
XI-Justice	X	Close	Blade of judgement! X = the amount of damage the target did with their last attack.	Blade	Awkward	 [Awkward]	Blade of judgement! X = the amount of damage the target did with their last attack. [Awkward]	Tarot		Justice, 11-Justice
XII-HangedMan	-	-	Next time you’re attacked, don’t defend. Damage you take = X. Next Mind roll gets +X dice.	Support	Guard, Slow	 [Guard, Slow]	Next time you’re attacked, don’t defend. Damage you take = X. Next Mind roll gets +X dice. [Guard, Slow]	Tarot		HangedMan, TheHangedMan, 12-HangedMan
XIII-Death	3	Near	Charge Close on an ivory horse! If this would delete the target, it wipes their memories instead.	Rush			Charge Close on an ivory horse! If this would delete the target, it wipes their memories instead.	Tarot		Death, 13-Death
XIV-Temperance	-	Close	Calm, shallow water rises. Anyone inside always rolls at least 4 dice. Non-hostile rolls only.	Hazard	Slow	 [Slow]	Calm, shallow water rises. Anyone inside always rolls at least 4 dice. Non-hostile rolls only. [Slow]	Tarot		Temperance, 14-Temperance
