Command	Alias	Type	Hidden?	Ruling?	Response
audienceruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given two resources: **Cheer Points** and **Jeer Points**. \n**Cheer Points:** When players rolls anything but a failure, they can downgrade the result of their roll to give the audience Cheer Points (+2 points per downgraded level). \n**Jeer Points:** The GM can give Jeer Points as the downside to a player's mixed success or failure (+2 points for mixed, +4 points for failure). \n\nAudience members can spend Cheer and Jeer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer/Jeer points and how often! \n> **1 Point:** Roll a random effect on the Cheer/Jeer table.\n > **2 Points:** Pick a specific effect from the Cheer/Jeer table.\n > **5 Points:** Pick a specific effect from the MegaCheer/MegaJeer table! 
cheerruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given **Cheer Points**, which they can use to grant players bonuses and benefits! When players rolls anything but a failure, they can downgrade the result of their roll to give the audience Cheer Points (+2 points per downgraded level). \n\nAudience members can spend Cheer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer points and how often! \n> **1 Point:** Roll a random effect on the Cheer table.\n > **2 Points:** Pick a specific effect from the Cheer table.\n > **5 Points:** Pick a specific effect from the MegaCheer table! 
jeerruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given **Jeer Points**, which they can use to boost enemies and trip up players! The GM can give Jeer Points as the downside to a player's partial success or failure (+2 points for mixed, +4 points for failure). \n\nAudience members can spend Jeer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer/Jeer points and how often! \n> **1 Point:** Roll a random effect on the Jeer table.\n > **2 Points:** Pick a specific effect from the Jeer table.\n > **5 Points:** Pick a specific effect from the MegaJeer table! 
networkmodruling		Reminders (Advanced Content)	TRUE		__**Network Modifiers**__ (Network Mods) are overarching rules applied to an entire network. Network Mods are often installed somewhere onto the server, either housed digitally as a huge structure or physically inserted into the server itself. 
daemonruling		Reminders (DarkChips)	TRUE		__**Daemons**__ are the entities responsible for **DarkChips**. Mysterious beings with inestimatable powers, they prey on people's flaws to forge dark bonds with them.\n\nDaemons have four aspects: their **Domain**, **Tribute**, **ChaosUnison**, and **Signature DarkChip**. Within their Domain, their powers are myriad and far-reaching: spawning Viruses, corrupting Mystery Data, and haunting NPCs are just some of the ways they can exert their influence. And while they are responsible for DarkChips, they can tempt Navis in other, crueler ways so long as it aligns with their Domain, all in exchange for a Bond Point or Tribute.\n\nHowever, even if a Navi and/or NetOp have a Daemon Bond, that is not a sign that they are “evil.” Daemons are cruel beings that prey on people’s flaws. Daemon Bonds are a sign of unhealthy coping methods, not evil.\n\n**Most of all, player comfort supersedes everything else.** Daemons deal with toxic/abusive relationships and power dynamics. Confirm everyone’s consent before bringing it into play, and if a player ends up disliking the arc, they can ultimately cut it out of the character's story. “Canon” is less important than everyone, players and GMs, enjoying the game.
weatherruling		Reminders (Advanced Content)	TRUE		__**CyberWeather**__ is a collection of phenomena that modify how servers work, often in dramatic or evocative ways. GMs can use CyberWeather as worldbuilding material, encounter modifiers, or plot points. (i.e. A device that controls the CyberWeather?)\n\nCyberweather comes in three categories:\n- **Basic:** Commonplace. It’s frequently found installed onto personal homepages or public servers.\n- **Glitched:** Uncommon. Sometimes a result of corrupted Basic cyberweather. Navis must take care to avoid harm.\n- **Error:** Rare, chaotic, and dangerous. Very few can exert any control over Error Cyberweather.\n
achievementruling		Reminders (Advanced Content)	TRUE		__**Achievements**__ are challenges for players and Game Masters. Their requirements range from feats of combat excellence to unorthodox playstyles. Achievements are tracked on a per-player basis, and are just for show.\n\nThere are five categories of achievements:\n>>> - **First Steps:** Goals for players and GMs new to NetBattlers\n- **Admin Privileges:** Varied achievements for Game Masters\n- **Tricky Bits:** Oddball challenges for players\n- **Smooth Operation:** Player achievements all about combat\n- **Milestones:** Tough achievements about luck and long-term play\n
					
clarifications	clarification, edgecases	Reminders (Base)	FALSE		__**Clarifications & Edge Cases**__\n\n**_Combat_**\n- `help counter`\n- `help parryex`\n\n**_Effect Stacking & Modifiers_**\n- `help effects`\n\n**_Powers, Chips, and NCPs_**\n- `help chip clarifications`\n- `help power clarifications`\n- `help elementruling`\n\n**_NaviChips_**\n- `help navichip`\n
chipclarifications	battlechipclarification, battlechipclarifications, chipclarification, chipedgecase, chipedgecases, battlechipedgecase, battlechipedgecases	Reminders (Base)	TRUE		__**Chip Clarifications & Edge Cases**__\n>>> - **Guard** effects block each hit of a multi-hit attack separately.\n- When Guard effects **reduce damage**, the damage reduction is applied after rolling to defend.\n- When a Navi has a Guard active and **tries to gain a new one**, they pick which to keep. The Guard not kept loses all its effects.\n- If a Navi deletes multiple targets at once, they can choose which target is used for the purpose of "**last enemy/Virus you deleted**" effects.\n- **Creatures summoned by chips**, powers, and NCPs do not have stats or skills, and do not roll. (This does not apply to anything that explicitly says it summons a Virus.)\n- **Spending your own HP** to activate an effect does not count as taking damage, and it does not allow a defense roll.\n- When something lets you **roll one skill in place of another**, you roll the new skill with the replaced skill’s effects. \n- When someone **copies/takes a chip** from someone else’s Folder, they copy the chip as written. Post-slot-in changes (e.g. picking an effect listed on the chip) are not granted. And unless stated otherwise, when someone takes a BattleChip from a target’s Folder, it is a **temporary effect** that expires on jack-out. The target regaining their chip and the user’s access to the stolen chip are separate.\n- **AntiWarp** only activates when an enemy intentionally moves themselves with a chip/power.\n- When **Overclock** ticks down roll-based durations, those effects activate as normal where possible. Even if an effect is unable to activate, its duration still ticks down.\n- When a Navi **rolls to defend**, whatever they are defending against counts as the **target** of their roll.\n- By default, **Rush chips** _do not let the user to launch into the air_ - simply to move faster than normal. The exception is Rush chips that explicitly describe the user flying (synonymous terms, like “rocket,” also count).\n\n
powerclarifications	powerclarification, navipowerclarifications, navipowerclarification, poweredgecase, poweredgecases, navipoweredgecase, navipoweredgecases	Reminders (Base)	TRUE		__**Power Clarifications & Edge Cases**__\n>>> - **Skills/Powers without clear range limitations** can work at any range, though longer ranges often make them more difficult, especially when trying to do things quickly and/or accurately.\n- **Creatures summoned by powers, NCPs**, and chips do not have stats or skills, and do not roll. (This does not apply to anything that explicitly says it summons a Virus.)\n- Navis **cannot** perform any action that would result in reducing a stat below 1 or a skill below 0. (i.e. Using HotSwap to untill a Speed+1 NCP if their Speed has already been reduced to 0.)\n- **Glare’s** line of sight does not need eye contact. However, looking away from the target, even briefly (e.g. flinching), ends the effect.\n- Effects that directly **prevent a target from moving** do not prevent others from moving them.\n- If a power (either a Navi or Virus Power) **deals damage** and does not specify if it’s a melee or ranged attack, treat it as a ranged attack. This includes powers that only damage Close targets.\n- When a Navi has a **Guard** active and tries to gain a new one, they pick which to keep. The Guard not kept loses all its effects.\n
parryex	parriesex, parriesclarification, parriesextra, parryingex, parryclarification, parryclarifications, parryingclarification, parryingclarifications, parryextra, parryingextra	Reminders (Base)	TRUE		__**Parrying Clarifications & Edge Cases**__\n>>> - In the case of a **single attack with multiple targets that parry it**, only the highest value is used against the attacker to determine which side won the parry. If multiple targets dealt more damage than the attacker, they each deal damage equal to their own strongest attack.\n- If any character in a tied parry **doesn’t have a way to continue it** (e.g. an attacker used a multi-target attack, got parried, and had no multi-target attacks left), they cannot escalate.\n- When parrying with **multi-hit attacks**, one hit lands each parry round. If the multi-hit user wins, any hits left land too; if they lose (or tie and back off), remaining hits don’t trigger; if they tie and escalate, next round uses the attack’s next hit, if any remain.\n- When Guard effects reduce damage (e.g. SkullBarrier), the **damage reduction** is applied after rolling to defend.\n- When a defender chooses to parry, the **attacker’s attack now also counts as a parry.**\n- If a parry involves multiple rolls due to escalations, each roll counts for **roll-based durations**.\n- **Slow chips** can only be used to parry attacks if the user has time to prepare. For example, if an attacker is rolling Speed to close the gap and melee attack a Navi, the Navi may slot in a Slow Blade chip to parry the incoming attack, as the travel time may give the Navi time to prepare. Given the contextual nature of this clause, a GM may rule that the Slow chip would only be usable if the attacker fails their Speed roll.\n
					
repo	pmr, pmc, playermade	Lookups	FALSE		This command can pull up and search for player-made content on the official Notion __**Player-Made Repository**__. Type `repo` to learn more!
crimsonnoise		Rollers	FALSE		This commands rolls __**CrimsonNoise**__ (unofficial content) and gives you the result automatically! Specify `crimsonnoise common`, `crimsonnoise`, or `crimsonnoise rare`!
					
commands		Helpers	FALSE		Provides the list of __**commands**__ available for the user to run.
unknowncommand		Helpers	TRUE		I don't know this command, or there is no help message for this command.
query		Lookups	FALSE		The __**Query**__ command can be used to filter through **Chips**, **NCPs **, **Powers**, and **Viruses** by *Tag*, *Category*, or *Crossover Content*! It can also look up **Navi Power Upgrades**, as well as list **Daemons**, **Network Modifiers**, and **CyberWeather**!
find	search	Lookups	FALSE		This command can search through **BattleChips**, **NCPs**, and **Powers** all at once to __**find**__ entries!
bugreport		Helpers	FALSE		Send a __**bug report**__ to the ProgBot developers. Automatically includes your username and the server from which the bug report is sent from.
invite		Helpers	FALSE		Create an __**invite link**__ to add ProgBot to other servers.
help		Helpers	TRUE		Do you really need help with help? :thinking:
helphelp		Helpers	TRUE		`.`
helphelp		Helpers	TRUE		What's that smell?
helphelp		Helpers	TRUE		Should I call the police?
helphelp		Helpers	TRUE		Remember to check the oven.
helphelp		Helpers	TRUE		You want summa DIS whiskey?
helphelp		Helpers	TRUE		Watch out for the JudgeBots.
you	progbot, yourself, progbutt	Helpers	TRUE		**ProgBot is open-source and open to community suggestions!** If you'd like to help out, you can contribute to the GitHub repo at: <https://github.com/gskbladez/PROGBOT_CODE_DUMP>. Just create a fork from master and submit pull requests once you're ready!\nEven if you can't contribute to the code, you can still help us by suggesting features or reporting issues! Use `bugreport` to send us a message, or contact the ProgBot development team directly!
me		Helpers	TRUE		https://media1.tenor.com/images/b769654d59686712dead0d060f233341/tenor.gif?itemid=5613659
will	netbattlers, mmg, merrymancergames, owl	Helpers	TRUE		<:HappyRaffi:> https://www.patreon.com/willuhl <:HappyRaffi:>
will	netbattlers, mmg, merrymancergames, owl	Helpers	TRUE		<:KissRaffi:> https://www.patreon.com/willuhl <:KissRaffi:>
					
safetytools	safety, safetyoverview	Safety Tools	FALSE		__**Safety Systems & Commands**__\nSometimes, stories go to places people aren't ready for. Safety tools help people avoid and process discomfort. ProgBot includes convenient access to a couple of these tools in the form of basic explanations and dedicated commands, in order to quickly convey information about a player's comfort level and potentially aid in avoiding triggering content. Please check with your GM to verify which of these will be available at the table. For more information on the different safety tools, here is a list of help commands to explain how to use them:\n\n**The X-Card** by _John Stavropoulous et al._\n> •`help xcard`\n\n**The Luxton Technique** by _P.H. Lee_\n> •`help luxton`\n\n**Lines and Veils** by _Ron Edwards_\n> •`help linesandveils`\n\n**The Open Door** by _Eirik Fatland_\n> •`help opendoor`\n\n**Script Change RPG Toolbox** by _Beau Jágr Sheldon_\n> •`help scriptchange` / `help vhscontrols`\n\nFor best practices, and more tools, visit <https://www.notion.so/MMG-Best-Roleplay-Practices-7c5c5ee348df49c4878dc2fe2977dd63#ff2a9da3a6bd41bc86b7fdd979b7b87b> \nFor a primer on how to run a Session 0, refer to `help session0`
xcard	ncard, ocard	Safety Tools	FALSE		**The X-Card** by _John Stavropoulous et al._\nWhenever someone is uncomfortable with something in play, they can bring up the card via `safety`, no explanation needed. It doesn't matter why. The story then continues, removing whatever was X-Carded. If there are any issues, players can take a break and talk privately. (Read the original, full text of the X-Card here: http://tinyurl.com/x-card-rpg)\n- `X-Card`: Rhe user is uncomfortable, and would like to remove an active part of the story in play.\n- `N-Card`: A participant feels like they are headed towards an X, the group can change the content, or have the scene "fade to black". \n- `O-Card`: The inverse of the X-Card. This command will notify the channel that a participant wants to continue with the content presented, or wants more of it.
linesandveils	lines, veils	Safety Tools	FALSE		**Lines and Veils** by _Ron Edwards_\nLines and veils are used to set boundaries on content in a game. **Lines** are hard limits on content, things that the GM or players don't want to engage in. Setting up a line means that content won't show up in the game at all.\n**Veils** are soft limits, things that are ok "behind a curtain" or when they "cut-to-black." Setting up a veil means that the content might be in the game, but not spotlighted or described in great detail. These can be adjusted as needed throughout the game.\n\nThey can be brought up using `safety`.
luxton	luxtontechnique	Safety Tools	FALSE		**The Luxton Technique** by _P.H. Lee_ \nThe Luxton Technique is used when a participant comes across triggering content in play. They can choose to discuss it with the others at the table to express their needs and wants honestly for how play will continue, without minimizing the participant's problem by pretending it never happened.\n\nThis can involve an honest discussion in a supportive environment, and giving the participant absolute fiat control over the harming material (e.g. making requests such as "I need this to have a happy ending", "I need this character to not get away with this", or even simply "I don't have a specific request, I just wanted you to know".)\n\nA participant does not need to be the one to speak first. Other participants should keep an eye on one another to be watchful of those who seem withdrawn, unfocused, or upset, and should express concern at first worry.\n\n_(For a more in-depth explanation on how to use this, read the reposted version of P.H. Lee's post here: <http://briebeau.com/thoughty/the-luxton-technique-by-p-h-lee/>)_\n- `luxton`: This command lets the channel know that the participant would like control over the triggering content, and drive changes both in-game and out of game needs, such as breaks. Afterwards, everyone continues to play to accomodate the requests made.
scriptchange	vhscontrols	Safety Tools	FALSE		**Script Change RPG Toolbox** by _Beau Jágr Sheldon_\nAt any point during the game, if a player or GM finds that they are uncomfortable with the subject matter or actions happening in the game, they can call for a script change via `safety`. \n_(For a more in-depth explanation on how to use this, read the original, full text of the Script Change RPG Toolbox here: <https://briebeau.com/thoughty/script-change/>)_\n- `Fast Forward`: This player would like to fast forward the current content, bringing it to an end, and moving on.\n- `Rewind`: Something has happened that the player takes issue with, and would like to rewind the script back to address those issues by making different decisions in the scene.\n- `Pause`: This player would like to take a break, whether it's because of a scene's intensity, or simply just to take a break. It is assumed that when this is used, the players are okay with the content shown. If not, a player can use this time to bring up if there is anything wrong, and whether or not a rewind or fast-forward is required.\n- `Frame-by-Frame`: They want to take it slow moving through the next scene. This could be an indicator that it may be new, sensitive, or even just a topic they're not sure about, and they want to let the group know that they wish to move carefully. The player who calls for a frame-by-frame should let the others know when it is okay to resume at a normal pace. Continue introducing the topics or content that was originally planned, but pause occasionally to check in with the player who called FBF to ensure that they are still okay with continuing.
opendoor		Safety Tools	FALSE		**The Open Door** by _Eirik Fatland_\nThe Open Door is the assurance that someone can leave or take a break from the game for their own safety and well-being without being judged. State this at the beginning and periodically throughout the game. It can be used via `safety`.\n- `Open Door`: This player desires to leave the game or stop listening/watching.
					
developers	developer, dev, devs	Helpers	TRUE		Their real name is ` `ōnĕ.
developers	developer, dev, devs	Helpers	TRUE		You can woo them with a particularly nice rock.
developers	developer, dev, devs	Helpers	TRUE		They eat cereal out of plastic red party cups.
developers	developer, dev, devs	Helpers	TRUE		They have eaten over sixty pieces of salmon sashimi in one sitting. They regret nothing.
developers	developer, dev, devs	Helpers	TRUE		Their objectively true opinion is that Yosuke is best gril.
developers	developer, dev, devs	Helpers	TRUE		They play a tabletop RPG called NetBattlers.
					
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Setup**\nWhen combat begins, assemble a grid map to illustrate the environment. A small arena may have a length and width of 10 by 10 tiles, but most should by at least 24 by 24, with an average height of at least 12 tiles.\nMost Navis are 2 tiles tall, 1 tile long, and 1 tile wide. Most Viruses are 1x1x1. The GM decides when things fit outside those parameters.\n\n**Range Bands and Movement**\nJust like outside of grid-based combat, range bands are measured relative to two things. To measure the distance between two entities, suspend a piece of string between them, draw it taut, then cut the string. If the segment measuring the distance between the two entities is under 3 inches, they are Close. If it is between 3 and 12 inches (inclusive), they are Near. Anything past that is Far.\nMoving range bands works the same way, except the string should follow the projected trajectory. Therefore, the string must include enough slack to account for arcs inherent in actions like jumping.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tile types**\n>>> **Blank:** This tile just contains air.\n**Floor:** Navis can stand here.\n**Wall:** This tile is unpassable.\n**Hazard:** See hazard rules.\n**Spring:** Downshifts movement.\n**False:** This is not really a tile.\n**NaviCust:** See NaviCust rules.\n**SP:** This tile is in superposition.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tile types**\n>>> **Blank:** This tile just contains air.\n**Floor:** Navis can stand here.\n**Wall:** This tile is unpassable.\n**Hazard:** See hazard rules.\n**Empty:** The tile is relatable.\n**Blank:** The tile contains nothing.\n**Justice:** This tile does not exist.\n**Fire:** Fire.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is a common allotrope used in many types of munitions. It can set fire to cloth, fuel, ammunition, and flesh. Though controversial, its use against personnel is not prohibited. Survivors of Grid-Based Combat often suffer severe damage to the kidneys and liver, as well as the cardiovascular and nervous systems.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		In a "No-Fail Mission," failure is not an acceptable outcome. If necessary, a squad will sacrifice their lives to achieve their goal.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is an uncomfortable feeling caused by holding two conflicting ideas simultaneously.\nYou are still a good person.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tips for running grid-based combat**\n>>> 1: Collateral damage is any incidental damage that occurs as a result of military action. Such damage is not unlawful if it is not excessive.\n2: There is no difference between what is right and what is necessary.\n3: Kill a man, and you are a murderer. Kill everyone, and you are a god.\n4: Do you feel like a hero yet?
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is a message... and part of a system of messages... pay attention to it!\nSending this message was important to us. We considered ourselves to be a powerful culture.\nThis place is not a place of honor... no highly esteemed deed is commemorated here... nothing valued is here.\nWhat is here was dangerous and repulsive to us. This message is a warning about danger.\nThe danger is in a particular location... it increases towards a center... the center of danger is here... of a particular size and shape, and below us.\nThe danger is still present, in your time, as it was in ours.\nThe danger is to the body, and it can kill.\nThe form of the danger is an emanation of energy.\nThe danger is unleashed only if you substantially disturb this place physically. This place is best shunned and left uninhabited.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		You cannot lose if you do not play.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		```\n.__   __.   ______   \n|  \ |  |  /  __  \  \n|   \|  | |  |  |  | \n|  . `  | |  |  |  | \n|  |\   | |  `--'  | \n|__| \__|  \______/\n```
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Okay, #general-netbattlers, I need your help with this. This is not a help text, this is a long read, but I feel like my safety or well-being could very well depend on this. This is NetBattlers related, specifically grid-based combat, and this is the creepiest shit that has ever happened to me in my entire life.\n\nHaving said that, I recently moved into my dorm room starting as a Sophomore in college and a friend of mine gave me his old dice set & a hand-printed copy of World of Dungeons. I was stoked, to say the least, I could finally play TTRPGs IRL with my friends and not have to use one of those dice roller apps. His copy of WoD came with a partially-filled character sheet and some loose GM notes, and while beggars can't be choosers, needless to say it didn't take long until I wanted to run something different.\n\nThat weekend I decided to drive around a few neighborhoods about twenty minutes or so off campus, hitting up the local garage sales, hoping to score on some good deals from ignorant parents). I ended up picking up a copy of ODnD, Tenra Bansho Zero (fuck yeah), Ryuutama, and two other books for twenty dollars. Satisfied, I began to drive out of the neighborhood when one last house caught my attention. I still have no idea why it did, there were no cars there and only one table was set up with random junk on it, but something sort of drew me there. I usually trust my gut on these things so I got out of the car and I was greeted by an old man. His outward appearance was, for lack of a better word, displeasing. It was odd, if you asked me to tell you why I thought he was displeasing, I couldn't really pinpoint anything - there was just something about him that put me on edge, I can't explain it. All I can tell you is that if it wasn't in the middle of the afternoon and there were other people within shouting distance, I would not have even thought of approaching this man.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		He flashed a crooked smiled at me and asked what I was looking for, and immediately I noticed that he must be blind in one of his eyes; his right eye had that "glazed over" look about it. I forced myself to look to his left eye instead, trying not to offend, and asked him if he had any old roleplaying books.\n\nI was already wondering how I could politely excuse myself from the situation when he would tell me he had no idea what a roleplaying game was, but to my surprise he said he had a few ones in an old box. He assured me he'd be back in a "jiffy" and turned to head back into the garage. As I watched him hobble away, I couldn't help but notice what he was selling on his table. Littered across his table were rather… peculiar paintings; various artworks that looked like ink blots that a psychiatrist might show you. Curious, I looked through them - it was obvious why no one was visiting this guy's garage sale, these weren't exactly aesthetically pleasing. As I came to the last one, for some reason it looked almost like a mettaur - the same little yellow helmet with two big eyes poking out from underneath. Initially I just thought that since I was secretly hoping to find that game at these garage sales, some Freudian bullshit was projecting itself into the ink blots, but given the events that happened afterward I'm not so sure now. I should have asked the man about it. I wish I would have asked the man about it.\n\nAfter staring at the mettaur-shaped blot, I looked up and the old man was suddenly there again, arms-length in front of me, smiling at me. I'll admit I jumped out of reflex and I laughed nervously as he handed me a printout of "NetBattlers". Even though it was clearly printed by hand, the cover looked awesome. I got butterflies in my stomach as I realized what a coincidence this was and asked him how much he wanted for it.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		The old man smiled at me and told me that I could have it for free, that it used to belong to a kid who was about my age that didn't live here anymore. There was something weird about how the man phrased that, but I didn't really pay any attention to then, I was too caught up in not only finding this game but getting it for free.\n\nI reminded myself to be a bit skeptical since this looked like a pretty shady printout and there's no guarantee it would work, but then the optimist inside me interjected that maybe it was some kind of beta version or pirated version of the game and that was all I needed to be back on cloud nine. I thanked the man and the man smiled at me and wished me well, saying "Well, goodbye!" - at least that's what it sounded like to me. All the way in the car-ride home, I had a nagging doubt that the man had said something else. My fears were confirmed when I found some character sheets in the back of the book and there was one player named simply "Will". "Will, goodbye", he was saying "Will, goodbye". I felt bad for the man, obviously a grandparent and obviously going senile, and I - for some reason or another - reminded him of his grandchild "Will".\n\nOut of curiosity I looked at the character sheet. Eyeballing it, I could tell that they were pretty far into their campaign - they had 8 EB and over a dozen chips. I noticed that they had max bonds with three other players, with personal notes about how they wanted their character's prologue to end. I remember thinking that it was a shame that they had come so close to finishing a campaign. I drafted up a new character named "Raffi" and started the game, ready to relive my childhood.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Help with what? The long night is over. The crown of combat is tarnished, but that will fade in time. The tile types, a fever dream; the initiative rerolls, a horrible nightmare; and like everything else that's happened, such things will only be dimly remembered upon waking to their normal lives. In the end, all sins are forgiven. Even yours.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		:warning::warning:  **SOMETHING BROKE**  :warning::warning: \n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning: **YOU DID THIS TO ME** :warning::warning:\n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning:  **ARE YOU PROUD???** :warning::warning:\n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning:   **BEWARE THE GRID**   :warning::warning:
					
raffi		Reminders (Base)	TRUE	threats	<:KissRaffi:>
					
progfacts	progfact	Helpers	TRUE		Many of us love riddles!
progfacts	progfact	Helpers	TRUE		Each Prog has a 1 in 8096 chance of being gold!
progfacts	progfact	Helpers	TRUE		These "ears" on our heads are hands! They stretch!
progfacts	progfact	Helpers	TRUE		If you throw us, we explode(?)
progfacts	progfact	Helpers	TRUE		We were featured(?) in Nier Automata(??)
